Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2026-08-10 16:28:11,1,0,0,1,1,2,26,1,1,0,1,0,97 Josh Moore,22 Theo Chandler-Nantel,97 Josh Moore
2026-08-10 16:32:42,2,1,0,0,1,2,20,1,1,0,0,2,96 Jonah Walter,08 Chassy Jones,50 Loic Cleveland
2026-08-10 16:37:40,3,2,0,0,0,3,6,3,3,0,2,1,,,
2026-08-10 16:42:47,4,2,1,1,1,1,49,0,0,0,0,0,09 Chase Alexander,97 Josh Moore,07 Justin Daugherty
2026-08-10 16:48:35,5,3,1,0,1,1,1,0,0,0,1,0,,96 Jonah Walter,17 Kaiden Yu
2026-08-10 16:52:33,6,4,1,0,0,0,0,0,0,0,0,0,,,
2026-08-10 16:55:52,7,4,2,1,1,1,52,0,0,0,0,0,97 Josh Moore,22 Theo Chandler-Nantel,09 Chase Alexander
2026-08-10 17:00:35,8,5,2,0,1,1,3,0,0,0,1,0,08 Chassy Jones,17 Kaiden Yu,15 Ben Willis
2026-08-10 17:02:40,9,6,2,0,1,2,14,1,1,1,2,0,34 Rohan Smith,92 Grayson Estabrooks,26 Mathieu Cormier
2026-08-10 17:08:42,10,7,2,0,0,0,0,0,0,0,0,0,,,
2026-08-10 17:13:20,11,7,3,1,1,1,19,0,0,0,0,0,97 Josh Moore,45 Thomas Cain,31 Spencer Burrell
2026-08-10 17:15:52,12,8,3,0,0,0,0,0,0,0,0,0,,,
2026-08-10 17:24:05,13,8,4,1,1,2,7,1,0,1,1,0,09 Chase Alexander,28 Connor Rycroft,07 Justin Daugherty
2026-08-10 17:27:16,14,9,4,0,1,1,4,0,0,0,0,1,08 Chassy Jones,50 Loic Cleveland,96 Jonah Walter
2026-08-10 17:30:15,15,10,4,0,1,1,7,0,0,0,0,1,07 Justin Daugherty,35 Sammy ten Den,34 Rohan Smith
2026-08-10 17:33:12,16,11,4,0,0,1,3,1,1,0,1,0,,,
2026-08-10 17:36:39,17,11,5,1,1,1,16,0,0,0,0,0,20 Declan Brook,09 Chase Alexander,97 Josh Moore
2026-08-10 17:39:27,18,12,5,0,0,0,0,0,0,0,0,0,,,
2026-08-10 17:41:45,19,12,6,1,1,3,9,2,2,0,1,1,22 Theo Chandler-Nantel,45 Thomas Cain,09 Chase Alexander
2026-08-10 17:45:30,20,13,6,0,0,1,1,1,1,0,1,0,,,
2026-08-10 17:48:55,21,13,7,1,1,3,12,2,2,2,2,0,97 Josh Moore,32 Kian Mashaie,09 Chase Alexander
2026-08-10 17:52:45,22,14,7,0,0,0,0,0,0,0,0,0,,,
