Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2026-08-11 08:28:19,1,0,0,0,0,1,2,1,1,0,0,1,,,
2026-08-11 08:33:10,2,0,1,1,1,1,2,0,0,0,0,0,22 Theo Chandler-Nantel,09 Chase Alexander,97 Josh Moore
2026-08-11 08:35:26,3,1,1,0,0,0,0,0,0,0,0,0,,,
2026-08-11 08:37:55,4,1,2,1,1,1,18,0,0,0,0,0,20 Declan Brook,28 Connor Rycroft,97 Josh Moore
2026-08-11 08:40:21,5,2,2,0,0,0,0,0,0,0,0,0,,,
2026-08-11 08:42:09,6,2,3,1,0,1,6,1,1,0,0,0,,,
2026-08-11 08:44:19,7,2,4,1,1,1,27,0,0,0,0,0,97 Josh Moore,22 Theo Chandler-Nantel,20 Declan Brook
2026-08-11 08:47:22,8,3,4,0,0,1,2,1,1,0,0,1,,,
2026-08-11 08:51:52,9,3,5,1,1,1,15,0,0,0,0,0,97 Josh Moore,20 Declan Brook,97 Josh Moore
2026-08-11 08:54:20,10,4,5,0,0,0,0,0,0,0,0,0,,,
2026-08-11 08:56:23,11,4,6,1,1,2,12,1,1,0,0,1,97 Josh Moore,22 Theo Chandler-Nantel,09 Chase Alexander
2026-08-11 08:59:49,12,5,6,0,1,1,6,0,0,0,1,0,35 Sammy ten Den,15 Ben Willis,26 Mathieu Cormier
2026-08-11 09:02:59,13,6,6,0,0,1,3,1,1,0,1,0,,,
2026-08-11 09:07:20,14,6,7,1,1,1,28,0,0,0,0,0,07 Justin Daugherty,32 Kian Mashaie,97 Josh Moore
2026-08-11 09:11:32,15,7,7,0,1,1,6,0,0,0,1,0,32 Kian Mashaie,09 Chase Alexander,50 Loic Cleveland
2026-08-11 09:14:40,16,8,7,1,1,1,9,0,0,0,0,0,32 Kian Mashaie,09 Chase Alexander,45 Thomas Cain
2026-08-11 09:24:38,17,9,7,0,0,1,2,1,1,0,0,1,,,
2026-08-11 09:27:46,18,9,8,1,1,1,12,0,0,0,0,0,32 Kian Mashaie,22 Theo Chandler-Nantel,20 Declan Brook
2026-08-11 09:30:36,19,10,8,0,1,1,3,0,0,0,0,1,26 Mathieu Cormier,08 Chassy Jones,96 Jonah Walter
2026-08-11 09:34:06,20,11,8,0,0,1,2,1,1,0,0,1,,,
2026-08-11 09:37:23,21,11,9,1,0,1,13,1,1,0,0,0,,,
2026-08-11 09:41:01,22,11,10,1,1,3,14,2,2,1,1,1,09 Chase Alexander,22 Theo Chandler-Nantel,97 Josh Moore
2026-08-11 09:49:23,23,12,10,0,0,0,0,0,0,0,0,0,,,
2026-08-11 09:52:07,24,12,11,1,1,1,8,0,0,0,0,0,22 Theo Chandler-Nantel,09 Chase Alexander,20 Declan Brook
2026-08-11 09:54:31,25,13,11,0,0,0,0,0,0,0,0,0,,,
