Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2026-08-11 12:27:36,1,0,0,1,1,2,7,1,1,0,1,0,,97 Josh Moore,09 Chase Alexander
2026-08-11 12:32:43,2,1,0,0,0,1,6,1,1,0,0,1,,,
2026-08-11 12:35:53,3,1,1,1,1,3,19,2,2,1,1,1,97 Josh Moore,32 Kian Mashaie,09 Chase Alexander
2026-08-11 12:41:39,4,2,1,0,1,3,10,2,2,0,2,1,50 Loic Cleveland,96 Jonah Walter,97 Josh Moore
2026-08-11 12:50:31,5,3,1,0,0,0,0,0,0,0,0,0,,,
2026-08-11 12:52:51,6,3,2,1,1,1,2,0,0,0,0,0,22 Theo Chandler-Nantel,20 Declan Brook,09 Chase Alexander
2026-08-11 12:54:34,7,4,2,0,0,0,0,0,0,0,0,0,,,
2026-08-11 12:57:24,8,4,3,1,1,5,29,4,4,1,3,1,31 Spencer Burrell,96 Jonah Walter,22 Theo Chandler-Nantel
2026-08-11 13:15:11,9,5,3,0,0,2,6,2,2,0,0,2,,,
2026-08-11 13:20:54,10,5,4,1,1,1,4,0,0,0,0,0,32 Kian Mashaie,20 Declan Brook,97 Josh Moore
2026-08-11 13:23:42,11,6,4,0,0,0,0,0,0,0,0,0,,,
2026-08-11 13:32:10,12,6,5,1,0,1,7,1,1,0,0,0,,,
2026-08-11 13:34:56,13,6,6,1,0,3,15,3,3,1,2,0,,,
2026-08-11 13:45:56,14,6,7,1,1,1,41,0,0,0,0,0,97 Josh Moore,96 Jonah Walter,28 Connor Rycroft
2026-08-11 13:50:37,15,7,7,0,1,1,15,0,0,0,0,1,50 Loic Cleveland,09 Chase Alexander,08 Chassy Jones
2026-08-11 13:56:53,16,8,7,0,0,0,0,0,0,0,0,0,,,
