Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2026-07-26 12:16:44,1,0,0,1,0,1,17,1,1,0,0,0,,,
2026-07-26 12:23:44,2,0,1,1,1,4,34,3,3,0,1,2,50 Loic Cleveland,08 Chassy Jones,64 Evan Daigeler
2026-07-26 12:31:30,3,1,1,0,0,0,0,0,0,0,0,0,,,
2026-07-26 12:34:02,4,1,2,1,1,1,7,0,0,0,0,0,22 Theo Chandler-Nantel,08 Chassy Jones,50 Loic Cleveland
2026-07-26 12:36:51,5,2,2,0,1,1,5,0,0,0,1,0,64 Evan Daigeler,08 Chassy Jones,50 Loic Cleveland
2026-07-26 12:40:25,6,3,2,0,0,0,0,0,0,0,0,0,,,
2026-07-26 12:42:13,7,3,3,1,0,1,3,1,1,0,0,0,,,
2026-07-26 12:44:54,8,3,4,1,1,1,6,0,0,0,0,0,28 Connor Rycroft,22 Theo Chandler-Nantel,31 Spencer Burrell
2026-07-26 12:46:59,9,4,4,0,0,0,0,0,0,0,0,0,,,
2026-07-26 12:49:31,10,4,5,0,0,0,0,0,0,0,0,0,,,
2026-07-26 12:56:53,11,4,6,1,1,2,22,1,1,0,0,1,22 Theo Chandler-Nantel,09 Chase Alexander,31 Spencer Burrell
2026-07-26 13:01:30,12,5,6,0,0,3,9,3,3,0,1,2,,,
2026-07-26 13:09:28,13,5,7,1,0,1,11,1,1,1,0,0,,,
2026-07-26 13:13:06,14,5,8,1,1,1,6,0,0,0,0,0,50 Loic Cleveland,15 Ben Willis,50 Loic Cleveland
2026-07-26 13:15:42,15,6,8,0,1,1,8,0,0,0,0,1,85 Antoine Turcotte,50 Loic Cleveland,08 Chassy Jones
2026-07-26 13:18:21,16,7,8,0,1,2,11,1,1,0,1,1,09 Chase Alexander,33 Philippe Gaulin,08 Chassy Jones
2026-07-26 13:20:40,17,8,8,0,1,1,6,0,0,0,1,0,08 Chassy Jones,09 Chase Alexander,08 Chassy Jones
2026-07-26 13:22:42,18,9,8,0,0,1,5,1,1,0,1,0,,,
2026-07-26 13:26:44,19,9,9,1,1,2,17,1,1,0,0,1,85 Antoine Turcotte,22 Theo Chandler-Nantel,35 Sammy ten Den
2026-07-26 13:30:59,20,10,9,0,0,0,0,0,0,0,0,0,,,
