Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2026-07-25 15:12:30,1,0,0,0,1,4,13,3,2,1,4,0,33 Philippe Gaulin,08 Chassy Jones,64 Evan Daigeler
2026-07-25 15:16:06,2,1,0,0,1,6,26,5,4,1,4,2,08 Chassy Jones,50 Loic Cleveland,08 Chassy Jones
2026-07-25 15:25:55,3,2,0,0,1,3,15,2,2,1,1,2,22 Theo Chandler-Nantel,09 Chase Alexander,07 Justin Daugherty
2026-07-25 15:32:30,4,3,0,0,1,2,5,1,1,0,1,1,08 Chassy Jones,33 Philippe Gaulin,15 Ben Willis
2026-07-25 15:38:09,5,4,0,0,0,0,0,0,0,0,0,0,,,
2026-07-25 15:40:06,6,4,1,1,1,1,9,0,0,0,0,0,28 Connor Rycroft,09 Chase Alexander,22 Theo Chandler-Nantel
2026-07-25 15:43:06,7,5,1,0,1,1,1,0,0,0,1,0,,15 Ben Willis,26 Mathieu Cormier
2026-07-25 15:44:52,8,6,1,0,0,2,13,2,2,0,1,1,,,
2026-07-25 15:52:37,9,6,2,1,1,1,11,0,0,0,0,0,35 Sammy ten Den,22 Theo Chandler-Nantel,31 Spencer Burrell
2026-07-25 15:55:44,10,7,2,0,0,1,2,1,1,0,0,1,,,
2026-07-25 15:58:26,11,7,3,1,1,2,11,1,1,0,0,1,35 Sammy ten Den,22 Theo Chandler-Nantel,07 Justin Daugherty
2026-07-25 16:02:33,12,8,3,1,0,2,9,2,0,2,1,0,,,
2026-07-25 16:13:32,13,8,4,1,1,1,6,0,0,0,0,0,22 Theo Chandler-Nantel,20 Declan Brook,09 Chase Alexander
2026-07-25 16:16:07,14,9,4,0,1,2,7,1,1,0,1,1,08 Chassy Jones,15 Ben Willis,50 Loic Cleveland
2026-07-25 16:19:42,15,10,4,0,0,0,0,0,0,0,0,0,,,
2026-07-25 16:21:51,16,10,5,1,0,0,0,0,0,0,0,0,,,
