Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2026-07-26 08:06:45,1,0,0,1,1,1,1,0,0,0,0,0,,,
2026-07-26 08:07:10,2,1,0,0,0,0,0,0,0,0,0,0,,,
2026-07-26 08:07:15,3,1,1,1,1,2,5,1,1,0,0,1,20 Declan Brook,22 Theo Chandler-Nantel,31 Spencer Burrell
2026-07-26 08:09:15,4,2,1,0,0,1,5,1,1,0,1,0,,,
2026-07-26 08:13:22,5,2,2,1,0,2,12,2,2,1,1,0,,,
2026-07-26 08:17:10,6,2,3,1,1,1,7,0,0,0,0,0,35 Sammy ten Den,28 Connor Rycroft,09 Chase Alexander
2026-07-26 08:20:06,7,3,3,0,0,0,0,0,0,0,0,0,,,
2026-07-26 08:23:25,8,3,4,1,1,2,5,1,1,0,0,1,,20 Declan Brook,09 Chase Alexander
2026-07-26 08:26:37,9,4,4,0,0,1,2,1,0,1,0,1,,,
2026-07-26 08:31:06,10,4,5,1,0,1,11,1,1,1,0,0,,,
2026-07-26 08:34:14,11,4,6,1,1,5,16,4,4,1,1,3,50 Loic Cleveland,08 Chassy Jones,26 Mathieu Cormier
2026-07-26 08:42:13,12,5,6,0,0,0,0,0,0,0,0,0,,,
2026-07-26 08:44:13,13,5,7,0,0,0,0,0,0,0,0,0,,,
2026-07-26 08:52:42,14,5,8,1,1,2,5,1,1,0,0,1,07 Justin Daugherty,20 Declan Brook,09 Chase Alexander
2026-07-26 08:55:41,15,6,8,0,0,2,2,2,2,0,2,0,,,
2026-07-26 09:02:03,16,6,9,1,1,1,15,0,0,0,0,0,20 Declan Brook,09 Chase Alexander,22 Theo Chandler-Nantel
2026-07-26 09:05:09,17,7,9,0,0,0,0,0,0,0,0,0,,,
2026-07-26 09:07:39,18,7,10,1,1,1,10,0,0,0,0,0,22 Theo Chandler-Nantel,09 Chase Alexander,31 Spencer Burrell
2026-07-26 09:10:03,19,8,10,0,1,1,12,0,0,0,1,0,85 Antoine Turcotte,33 Philippe Gaulin,50 Loic Cleveland
2026-07-26 09:15:18,20,9,10,0,0,0,0,0,0,0,0,0,,,
