Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2026-07-11 14:28:42,1,0,0,0,1,1,5,0,0,0,1,0,33 Philippe Gaulin,08 Chassy Jones,17 Kaiden Yu
2026-07-11 14:33:20,2,1,0,0,0,0,0,0,0,0,0,0,,,
2026-07-11 14:36:20,3,1,1,1,0,1,9,1,1,0,0,0,,,
2026-07-11 14:38:45,4,1,2,1,1,1,17,0,0,0,0,0,22 Theo Chandler-Nantel,97 Josh Moore,28 Connor Rycroft
2026-07-11 14:41:46,5,2,2,0,1,1,5,0,0,0,1,0,33 Philippe Gaulin,08 Chassy Jones,85 Antoine Turcotte
2026-07-11 14:44:39,6,3,2,0,1,1,6,0,0,0,0,1,22 Theo Chandler-Nantel,08 Chassy Jones,28 Connor Rycroft
2026-07-11 14:47:26,7,4,2,0,1,1,7,0,0,0,0,1,26 Mathieu Cormier,32 Kian Mashaie,85 Antoine Turcotte
2026-07-11 14:52:02,8,5,2,0,1,3,17,2,2,0,1,2,26 Mathieu Cormier,20 Declan Brook,08 Chassy Jones
2026-07-11 15:01:15,9,6,2,0,1,1,33,0,0,0,0,1,85 Antoine Turcotte,29 Isaac Bellini,85 Antoine Turcotte
2026-07-11 15:08:41,10,7,2,0,1,1,3,0,0,0,0,1,08 Chassy Jones,34 Rohan Smith,07 Justin Daugherty
2026-07-11 15:12:07,11,8,2,1,1,1,10,0,0,0,0,0,07 Justin Daugherty,64 Evan Daigeler,31 Spencer Burrell
2026-07-11 15:23:33,12,9,2,0,1,1,4,0,0,0,0,1,92 Grayson Estabrooks,20 Declan Brook,33 Philippe Gaulin
2026-07-11 15:26:47,13,10,2,0,1,1,3,0,0,0,0,1,26 Mathieu Cormier,08 Chassy Jones,15 Ben Willis
2026-07-11 15:30:36,14,11,2,0,1,1,4,0,0,0,1,0,97 Josh Moore,28 Connor Rycroft,07 Justin Daugherty
2026-07-11 15:34:12,15,12,2,0,1,2,4,1,1,1,1,1,32 Kian Mashaie,17 Kaiden Yu,20 Declan Brook
2026-07-11 15:38:54,16,13,2,0,1,5,22,4,3,2,3,2,33 Philippe Gaulin,28 Connor Rycroft,15 Ben Willis
2026-07-11 15:47:01,17,14,2,0,1,1,2,0,0,0,0,1,22 Theo Chandler-Nantel,35 Sammy ten Den,45 Thomas Cain
2026-07-11 15:50:04,18,15,2,0,0,0,0,0,0,0,0,0,,,
