Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2026-07-11 10:24:27,1,0,0,0,1,1,5,0,0,0,1,0,32 Kian Mashaie,22 Theo Chandler-Nantel,97 Josh Moore
2026-07-11 10:51:45,2,1,0,0,1,1,3,0,0,0,1,0,08 Chassy Jones,17 Kaiden Yu,08 Chassy Jones
2026-07-11 10:53:38,3,2,0,0,0,1,1,1,1,0,0,1,,,
2026-07-11 10:55:38,4,2,1,1,1,2,16,1,0,1,0,1,32 Kian Mashaie,07 Justin Daugherty,97 Josh Moore
2026-07-11 11:00:33,5,3,1,0,1,2,2,1,1,0,0,2,,33 Philippe Gaulin,17 Kaiden Yu
2026-07-11 11:03:37,6,4,1,0,1,2,7,1,1,1,1,1,85 Antoine Turcotte,45 Thomas Cain,85 Antoine Turcotte
2026-07-11 11:09:20,7,5,1,0,1,1,3,0,0,0,1,0,92 Grayson Estabrooks,31 Spencer Burrell,45 Thomas Cain
2026-07-11 11:15:02,8,6,1,0,1,3,7,2,1,1,2,1,35 Sammy ten Den,08 Chassy Jones,92 Grayson Estabrooks
2026-07-11 11:19:21,9,7,1,0,1,1,3,0,0,0,0,1,97 Josh Moore,28 Connor Rycroft,07 Justin Daugherty
2026-07-11 11:21:47,10,8,1,0,1,1,1,0,0,0,0,1,,97 Josh Moore,34 Rohan Smith
2026-07-11 11:30:44,11,9,1,0,1,1,6,0,0,0,1,0,15 Ben Willis,31 Spencer Burrell,34 Rohan Smith
2026-07-11 11:33:33,12,10,1,0,1,1,2,0,0,0,0,1,32 Kian Mashaie,22 Theo Chandler-Nantel,08 Chassy Jones
2026-07-11 11:37:15,13,11,1,0,1,1,7,0,0,0,1,0,35 Sammy ten Den,15 Ben Willis,31 Spencer Burrell
2026-07-11 11:40:18,14,12,1,0,1,1,3,0,0,0,0,1,32 Kian Mashaie,97 Josh Moore,07 Justin Daugherty
2026-07-11 11:43:36,15,13,1,0,1,1,5,0,0,0,0,1,15 Ben Willis,08 Chassy Jones,17 Kaiden Yu
2026-07-11 11:48:51,16,14,1,0,1,1,1,0,0,0,0,1,,32 Kian Mashaie,31 Spencer Burrell
2026-07-11 11:51:30,17,15,1,0,0,0,0,0,0,0,0,0,,,
