Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2026-07-12 13:59:12,1,0,0,1,0,2,12,2,2,0,1,0,,,
2026-07-12 14:05:07,2,0,1,1,1,1,7,0,0,0,0,0,31 Spencer Burrell,22 Theo Chandler-Nantel,45 Thomas Cain
2026-07-12 14:07:37,3,1,1,0,0,0,0,0,0,0,0,0,,,
2026-07-12 14:10:04,4,1,2,1,1,1,5,0,0,0,0,0,97 Josh Moore,45 Thomas Cain,28 Connor Rycroft
2026-07-12 14:12:11,5,2,2,0,0,1,5,1,1,0,0,1,,,
2026-07-12 14:15:58,6,2,3,1,1,1,10,0,0,0,0,0,22 Theo Chandler-Nantel,32 Kian Mashaie,28 Connor Rycroft
2026-07-12 14:18:34,7,3,3,0,0,0,0,0,0,0,0,0,,,
2026-07-12 14:21:23,8,3,4,1,1,1,5,0,0,0,0,0,97 Josh Moore,22 Theo Chandler-Nantel,31 Spencer Burrell
2026-07-12 14:23:35,9,4,4,0,0,1,1,1,1,0,1,0,,,
2026-07-12 14:26:08,10,4,5,1,1,1,19,0,0,0,0,0,28 Connor Rycroft,64 Evan Daigeler,31 Spencer Burrell
2026-07-12 14:29:06,11,5,5,0,1,1,3,0,0,0,1,0,33 Philippe Gaulin,08 Chassy Jones,34 Rohan Smith
2026-07-12 14:33:31,12,6,5,0,0,0,0,0,0,0,0,0,,,
2026-07-12 14:35:30,13,6,6,1,1,1,14,0,0,0,0,0,32 Kian Mashaie,28 Connor Rycroft,07 Justin Daugherty
2026-07-12 14:39:05,14,7,6,0,0,0,0,0,0,0,0,0,,,
2026-07-12 14:40:55,15,7,7,1,1,1,4,0,0,0,0,0,32 Kian Mashaie,97 Josh Moore,28 Connor Rycroft
2026-07-12 14:44:59,16,8,7,0,1,0,0,0,0,0,1,0,,,
2026-07-12 14:55:35,17,9,7,0,0,0,0,0,0,0,0,0,,,
2026-07-12 14:58:41,18,9,8,1,0,1,12,1,1,0,0,0,,,
2026-07-12 15:06:19,19,9,9,1,1,2,14,1,1,0,1,0,07 Justin Daugherty,32 Kian Mashaie,07 Justin Daugherty
2026-07-12 15:11:46,20,10,9,0,0,0,0,0,0,0,0,0,,,
2026-07-12 15:15:54,21,10,10,1,1,2,8,1,1,0,0,1,32 Kian Mashaie,28 Connor Rycroft,32 Kian Mashaie
2026-07-12 15:21:42,22,11,10,0,0,0,0,0,0,0,0,0,,,
