Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2026-08-12 13:24:32,1,0,0,1,0,1,13,1,1,0,0,0,,,
2026-08-12 13:32:33,2,0,1,1,0,2,15,2,1,2,0,1,,,
2026-08-12 13:38:34,3,0,2,1,1,1,8,0,0,0,0,0,97 Josh Moore,09 Chase Alexander,32 Kian Mashaie
2026-08-12 13:41:44,4,1,2,0,0,7,31,7,6,1,2,5,,,
2026-08-12 14:00:09,5,1,3,1,0,1,6,1,1,0,0,0,,,
2026-08-12 14:04:48,6,1,4,1,1,1,14,0,0,0,0,0,28 Connor Rycroft,08 Chassy Jones,50 Loic Cleveland
2026-08-12 14:08:30,7,2,4,0,1,3,13,2,2,0,3,0,09 Chase Alexander,22 Theo Chandler-Nantel,50 Loic Cleveland
2026-08-12 14:12:52,8,3,4,0,1,1,4,0,0,0,1,0,35 Sammy ten Den,09 Chase Alexander,08 Chassy Jones
2026-08-12 14:15:17,9,4,4,0,1,1,1,0,0,0,1,0,,50 Loic Cleveland,08 Chassy Jones
2026-08-12 14:18:22,10,5,4,0,0,0,0,0,0,0,0,0,,,
2026-08-12 14:23:15,11,5,5,1,1,3,20,2,2,2,2,0,97 Josh Moore,32 Kian Mashaie,97 Josh Moore
2026-08-12 14:28:52,12,6,5,0,1,1,3,0,0,0,0,1,09 Chase Alexander,22 Theo Chandler-Nantel,09 Chase Alexander
2026-08-12 14:31:48,13,7,5,0,1,3,14,2,1,1,1,2,22 Theo Chandler-Nantel,97 Josh Moore,09 Chase Alexander
2026-08-12 14:46:27,14,8,5,0,0,4,17,4,3,1,1,3,,,
2026-08-12 15:00:03,15,8,6,1,1,1,10,0,0,0,0,0,22 Theo Chandler-Nantel,09 Chase Alexander,08 Chassy Jones
2026-08-12 15:03:10,16,9,6,0,1,1,9,0,0,0,1,0,07 Justin Daugherty,22 Theo Chandler-Nantel,09 Chase Alexander
2026-08-12 15:07:35,17,10,6,0,1,2,7,1,1,0,1,1,09 Chase Alexander,97 Josh Moore,35 Sammy ten Den
2026-08-12 15:12:21,18,11,6,0,1,1,10,0,0,0,0,1,08 Chassy Jones,09 Chase Alexander,08 Chassy Jones
2026-08-12 15:18:24,19,12,6,0,1,2,17,1,1,0,1,1,08 Chassy Jones,22 Theo Chandler-Nantel,97 Josh Moore
2026-08-12 15:27:40,20,13,6,0,0,0,0,0,0,0,0,0,,,
