Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2026-08-10 10:28:59,1,0,0,1,1,2,3,1,1,0,1,0,,22 Theo Chandler-Nantel,45 Thomas Cain
2026-08-10 10:32:39,2,1,0,0,1,2,13,1,1,0,1,1,15 Ben Willis,08 Chassy Jones,50 Loic Cleveland
2026-08-10 10:35:56,3,2,0,0,1,2,10,1,0,1,1,1,07 Justin Daugherty,34 Rohan Smith,17 Kaiden Yu
2026-08-10 10:38:48,4,3,0,0,1,1,7,0,0,0,0,1,26 Mathieu Cormier,85 Antoine Turcotte,50 Loic Cleveland
2026-08-10 10:42:41,5,4,0,0,1,1,4,0,0,0,1,0,33 Philippe Gaulin,64 Evan Daigeler,17 Kaiden Yu
2026-08-10 10:44:48,6,5,0,0,0,0,0,0,0,0,0,0,,,
2026-08-10 10:46:33,7,5,1,1,1,2,16,1,1,0,0,1,20 Declan Brook,22 Theo Chandler-Nantel,32 Kian Mashaie
2026-08-10 10:51:28,8,6,1,0,0,0,0,0,0,0,0,0,,,
2026-08-10 10:53:28,9,6,2,1,1,2,13,1,1,0,1,0,97 Josh Moore,32 Kian Mashaie,45 Thomas Cain
2026-08-10 10:56:04,10,7,2,0,0,0,0,0,0,0,0,0,,,
2026-08-10 10:58:01,11,7,3,1,1,1,1,0,0,0,0,0,,22 Theo Chandler-Nantel,97 Josh Moore
2026-08-10 10:59:55,12,8,3,0,0,0,0,0,0,0,0,0,,,
2026-08-10 11:08:23,13,8,4,1,1,1,2,0,0,0,0,0,32 Kian Mashaie,22 Theo Chandler-Nantel,09 Chase Alexander
2026-08-10 11:10:33,14,9,4,0,0,0,0,0,0,0,0,0,,,
2026-08-10 11:13:03,15,9,5,1,1,2,6,1,0,1,1,0,09 Chase Alexander,97 Josh Moore,22 Theo Chandler-Nantel
2026-08-10 11:15:52,16,10,5,0,1,2,14,1,1,0,1,1,,33 Philippe Gaulin,50 Loic Cleveland
2026-08-10 11:21:00,17,11,5,0,1,1,7,0,0,0,1,0,85 Antoine Turcotte,26 Mathieu Cormier,64 Evan Daigeler
2026-08-10 11:23:35,18,12,5,0,1,2,5,1,1,0,0,2,32 Kian Mashaie,45 Thomas Cain,07 Justin Daugherty
2026-08-10 11:28:38,19,13,5,0,0,0,0,0,0,0,0,0,,,
2026-08-10 11:30:21,20,13,6,1,1,1,8,0,0,0,0,0,32 Kian Mashaie,97 Josh Moore,07 Justin Daugherty
2026-08-10 11:32:46,21,14,6,0,0,0,0,0,0,0,0,0,,,
2026-08-10 11:34:53,22,14,7,1,1,1,8,0,0,0,0,0,09 Chase Alexander,32 Kian Mashaie,31 Spencer Burrell
2026-08-10 11:38:02,23,15,7,0,0,0,0,0,0,0,0,0,,,
