Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2026-08-10 12:27:44,1,0,0,1,1,1,24,0,0,0,0,0,97 Josh Moore,20 Declan Brook,09 Chase Alexander
2026-08-10 12:31:38,2,1,0,0,1,1,3,0,0,0,1,0,33 Philippe Gaulin,35 Sammy ten Den,50 Loic Cleveland
2026-08-10 12:34:37,3,2,0,0,0,0,0,0,0,0,0,0,,,
2026-08-10 12:36:20,4,2,1,1,1,3,45,2,1,2,2,0,32 Kian Mashaie,97 Josh Moore,09 Chase Alexander
2026-08-10 12:41:38,5,3,1,0,1,1,1,0,0,0,0,1,,96 Jonah Walter,08 Chassy Jones
2026-08-10 12:43:24,6,4,1,0,1,4,19,3,2,1,1,3,50 Loic Cleveland,35 Sammy ten Den,85 Antoine Turcotte
2026-08-10 12:49:11,7,5,1,0,0,1,7,1,0,1,0,1,,,
2026-08-10 12:52:16,8,5,2,1,1,2,13,1,1,0,0,1,09 Chase Alexander,97 Josh Moore,07 Justin Daugherty
2026-08-10 12:57:35,9,6,2,0,1,2,16,1,1,1,0,2,17 Kaiden Yu,34 Rohan Smith,26 Emile casagrand
2026-08-10 13:02:18,10,7,2,0,1,1,1,0,0,0,1,0,,22 Theo Chandler-Nantel,09 Chase Alexander
2026-08-10 13:05:26,11,8,2,0,1,1,26,0,0,0,1,0,09 Chase Alexander,22 Theo Chandler-Nantel,96 Jonah Walter
2026-08-10 13:16:00,12,9,2,0,1,1,8,0,0,0,1,0,64 Evan Daigeler,08 Chassy Jones,15 Ben Willis
2026-08-10 13:18:55,13,10,2,0,1,1,10,0,0,0,0,1,31 Spencer Burrell,17 Kaiden Yu,20 Declan Brook
2026-08-10 13:21:52,14,11,2,0,1,2,7,1,1,0,0,2,09 Chase Alexander,32 Kian Mashaie,20 Declan Brook
2026-08-10 13:27:58,15,12,2,0,1,2,15,1,1,0,1,1,97 Josh Moore,17 Kaiden Yu,50 Loic Cleveland
2026-08-10 13:31:23,16,13,2,0,0,6,46,6,5,1,2,4,,,
2026-08-10 13:44:25,17,13,3,1,0,1,4,1,1,0,0,0,,,
2026-08-10 13:47:30,18,13,4,1,1,1,14,0,0,0,0,0,50 Loic Cleveland,35 Sammy ten Den,96 Jonah Walter
2026-08-10 13:49:45,19,14,4,0,0,0,0,0,0,0,0,0,,,
