Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2026-08-12 10:26:33,1,0,0,1,1,1,3,0,0,0,0,0,20 Declan Brook,09 Chase Alexander,97 Josh Moore
2026-08-12 10:31:13,2,1,0,0,1,1,7,0,0,0,1,0,50 Loic Cleveland,09 Chase Alexander,15 Ben Willis
2026-08-12 10:33:56,3,2,0,0,0,0,0,0,0,0,0,0,,,
2026-08-12 10:35:53,4,2,1,1,1,1,10,0,0,0,0,0,22 Theo Chandler-Nantel,09 Chase Alexander,20 Declan Brook
2026-08-12 10:38:23,5,3,1,0,0,0,0,0,0,0,0,0,,,
2026-08-12 10:41:05,6,3,2,1,1,1,2,0,0,0,0,0,20 Declan Brook,09 Chase Alexander,97 Josh Moore
2026-08-12 10:43:01,7,4,2,0,1,1,9,0,0,0,0,1,09 Chase Alexander,50 Loic Cleveland,96 Jonah Walter
2026-08-12 10:45:57,8,5,2,0,1,1,3,0,0,0,1,0,34 Rohan Smith,33 Philippe Gaulin,45 Thomas Cain
2026-08-12 10:48:05,9,6,2,0,1,2,4,1,1,0,0,2,96 Jonah Walter,08 Chassy Jones,34 Rohan Smith
2026-08-12 10:52:17,10,7,2,0,1,1,3,0,0,0,1,0,09 Chase Alexander,97 Josh Moore,26 Mathieu Cormier
2026-08-12 10:55:52,11,8,2,0,1,1,1,0,0,0,1,0,,96 Jonah Walter,50 Loic Cleveland
2026-08-12 11:04:33,12,9,2,0,0,5,21,5,5,0,0,5,,,
2026-08-12 11:19:09,13,9,3,1,1,2,19,1,1,0,1,0,20 Declan Brook,22 Theo Chandler-Nantel,32 Kian Mashaie
2026-08-12 11:23:39,14,10,3,0,0,2,11,2,2,0,1,1,,,
2026-08-12 11:30:31,15,10,4,1,0,4,28,4,3,1,2,1,,,
2026-08-12 11:39:25,16,10,5,1,1,1,10,0,0,0,0,0,08 Chassy Jones,50 Loic Cleveland,35 Sammy ten Den
2026-08-12 11:41:51,17,11,5,0,0,0,0,0,0,0,0,0,,,
2026-08-12 11:43:35,18,11,6,1,1,1,4,0,0,0,0,0,07 Justin Daugherty,09 Chase Alexander,07 Justin Daugherty
2026-08-12 11:45:27,19,12,6,0,0,1,3,1,1,0,0,1,,,
2026-08-12 11:48:12,20,12,7,1,1,1,8,0,0,0,0,0,22 Theo Chandler-Nantel,09 Chase Alexander,97 Josh Moore
2026-08-12 11:50:27,21,13,7,0,0,0,0,0,0,0,0,0,,,
